 , 	[ Simbolo:'&'|		 | Ubicacion:(19, 32)|		 | Tipos: Operador Logico ; Separador|]		
 , 	[ Simbolo:'&'|		 | Ubicacion:(19, 33)|		 | Tipos: Operador Logico ; Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 34)|		 | Tipos: Separador|]		
 , 	[ Simbolo:'valor_altura'|		 | Ubicacion:(19, 35)|		 | Tipos: identificador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 47)|		 | Tipos: Separador|]		
 , 	[ Simbolo:'>'|		 | Ubicacion:(19, 48)|		 | Tipos: Operador Relacional ; Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 49)|		 | Tipos: Separador|]		
 , 	[ Simbolo:'0'|		 | Ubicacion:(19, 50)|		 | Tipos: identificador|]		
 , 	[ Simbolo:')'|		 | Ubicacion:(19, 51)|		 | Tipos: Operador Agrupacion ; Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 52)|		 | Tipos: Separador|]		
 , 	[ Simbolo:'{'|		 | Ubicacion:(19, 53)|		 | Tipos: Operador Agrupacion ; Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 54)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 55)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 56)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 57)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 58)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 59)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 60)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 61)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 62)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 63)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 64)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(19, 65)|		 | Tipos: Separador|]		
 , 	[ Simbolo:'\n'|		 | Ubicacion:(19, 66)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 1)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 2)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 3)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 4)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 5)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 6)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 7)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 8)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 9)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 10)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 11)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 12)|		 | Tipos: Separador|]		
 , 	[ Simbolo:'diametro'|		 | Ubicacion:(20, 13)|		 | Tipos: identificador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 21)|		 | Tipos: Separador|]		
 , 	[ Simbolo:'='|		 | Ubicacion:(20, 22)|		 | Tipos: Operador Relacional ; Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(20, 23)|		 | Tipos: Separador|]		
 , 	[ Simbolo:'valor_diametro'|		 | Ubicacion:(20, 24)|		 | Tipos: identificador|]		
 , 	[ Simbolo:';'|		 | Ubicacion:(20, 38)|		 | Tipos: Separador Sentencias|]		
 , 	[ Simbolo:'\n'|		 | Ubicacion:(20, 39)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(21, 1)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(21, 2)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(21, 3)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(21, 4)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(21, 5)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(21, 6)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(21, 7)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(21, 8)|		 | Tipos: Separador|]		
 , 	[ Simbolo:' '|		 | Ubicacion:(21, 9)|		 | Tipos: Separador|]		
